work_order_id,created_at,completed_at,category,priority,site,technician,resolution_hours,sla_target_hours,sla_met,downtime_hours,labor_cost,material_cost,total_cost,month
WO-00049,2026-02-12 16:00:00,2026-02-13 12:47:40.642558804,Electrical,Medium,Production B,Tech D,20.8,48,1,0.2,862.81,117.4,1014.8,2026-02
WO-00050,2026-03-23 20:00:00,2026-03-25 03:32:55.270371863,Electrical,Medium,Production B,Tech A,31.5,48,1,1.7,1167.92,9.32,1436.44,2026-03
WO-00051,2026-03-23 06:00:00,2026-03-23 09:58:37.029797049,Plumbing,Critical,Office,Tech C,4.0,8,1,0.0,147.24,91.42,238.67,2026-03
WO-00052,2026-03-23 08:00:00,2026-03-23 21:06:21.374273825,HVAC,Medium,Utility Room,Tech B,13.1,48,1,0.2,494.06,280.35,802.14,2026-03
WO-00053,2026-03-06 15:00:00,2026-03-07 19:40:25.502996297,Electrical,Low,Warehouse,Tech A,28.7,72,1,1.3,1109.62,240.67,1539.96,2026-03
WO-00054,2026-06-13 00:00:00,2026-06-13 12:03:16.781402336,Electrical,Medium,Production A,Tech A,12.1,48,1,1.1,489.03,159.73,814.76,2026-06
WO-00055,2026-04-30 19:00:00,2026-05-01 00:59:09.645547218,HVAC,Medium,Utility Room,Tech B,6.0,48,1,0.1,284.55,159.15,456.86,2026-04
WO-00056,2026-05-21 07:00:00,2026-05-22 17:20:43.343576701,Electrical,Medium,Office,Tech B,34.3,48,1,1.5,1409.62,312.52,1953.33,2026-05
WO-00057,2026-02-06 16:00:00,2026-02-06 23:04:30.976201216,Plumbing,High,Utility Room,Tech C,7.1,24,1,0.0,361.38,116.83,478.2,2026-02
WO-00058,2026-06-11 14:00:00,2026-06-13 20:37:18.455044035,Plumbing,Low,Warehouse,Tech D,54.6,72,1,2.1,2738.08,174.31,3233.66,2026-06
WO-00059,2026-02-06 14:00:00,2026-02-07 05:27:16.111047644,Controls,Medium,Production A,Tech A,15.5,48,1,0.7,575.74,33.46,714.55,2026-02
WO-00060,2026-01-20 19:00:00,2026-01-21 13:18:58.601915389,Plumbing,Low,Production B,Tech D,18.3,72,1,0.4,731.82,78.57,873.54,2026-01
WO-00061,2026-04-17 01:00:00,2026-04-17 15:19:32.337150719,Mechanical,Low,Production A,Tech D,14.3,72,1,0.9,836.97,380.8,1349.44,2026-04
WO-00062,2026-03-24 05:00:00,2026-03-25 21:20:11.763408660,Mechanical,Low,Production A,Tech D,40.3,72,1,1.5,1513.25,79.83,1819.32,2026-03
WO-00063,2026-01-29 01:00:00,2026-01-31 18:21:37.556683853,Electrical,Low,Warehouse,Tech E,65.4,72,1,3.0,2832.62,185.6,3471.84,2026-01
WO-00064,2026-02-07 06:00:00,2026-02-08 20:06:27.413339345,HVAC,Low,Utility Room,Tech E,38.1,72,1,1.3,1502.66,311.95,2011.65,2026-02
WO-00065,2026-05-10 05:00:00,2026-05-11 05:56:30.034864228,HVAC,Medium,Production A,Tech E,24.9,48,1,1.3,912.83,20.39,1124.31,2026-05
WO-00066,2026-02-02 13:00:00,2026-02-03 10:58:34.732580009,HVAC,Low,Utility Room,Tech C,22.0,72,1,0.6,899.5,306.28,1292.12,2026-02
WO-00067,2026-04-13 20:00:00,2026-04-14 12:39:04.759046960,Plumbing,Medium,Production A,Tech A,16.7,48,1,1.6,716.63,113.77,1073.66,2026-04
WO-00068,2026-04-05 23:00:00,2026-04-06 18:23:30.489362594,Plumbing,Medium,Office,Tech E,19.4,48,1,1.0,823.66,193.57,1173.53,2026-04
WO-00069,2026-04-05 04:00:00,2026-04-05 11:33:56.331899204,HVAC,High,Warehouse,Tech C,7.6,24,1,1.4,264.13,298.84,777.42,2026-04
WO-00070,2026-02-06 03:00:00,2026-02-07 00:55:57.836361952,HVAC,Medium,Office,Tech E,21.9,48,1,0.3,1031.96,186.72,1270.42,2026-02
WO-00071,2026-03-11 20:00:00,2026-03-13 05:01:46.181147575,HVAC,Medium,Production A,Tech A,33.0,48,1,1.8,1232.89,226.47,1732.43,2026-03
WO-00072,2026-01-29 21:00:00,2026-02-02 18:00:45.061792109,Controls,Low,Production A,Tech D,93.0,72,0,5.2,3747.25,271.82,4797.5,2026-01
WO-00073,2026-04-07 20:00:00,2026-04-09 07:18:50.689371252,Controls,Medium,Warehouse,Tech B,35.3,48,1,2.4,1348.13,49.75,1759.6,2026-04
WO-00074,2026-03-07 05:00:00,2026-03-08 10:07:17.470775103,Plumbing,Medium,Production B,Tech B,29.1,48,1,0.8,1356.8,177.93,1649.27,2026-03
WO-00075,2026-06-08 06:00:00,2026-06-08 07:00:00.576502336,HVAC,Critical,Production A,Tech A,1.0,8,1,0.0,49.19,164.3,213.49,2026-06
WO-00076,2026-06-05 20:00:00,2026-06-06 07:01:59.820878693,Electrical,High,Production B,Tech B,11.0,24,1,3.5,541.92,166.23,1231.42,2026-06
WO-00077,2026-03-09 20:00:00,2026-03-10 20:26:06.497094122,Controls,High,Production A,Tech E,24.4,24,0,6.5,1344.89,48.22,2363.26,2026-03
WO-00078,2026-01-20 16:00:00,2026-01-21 04:58:22.207597772,Electrical,Medium,Production A,Tech E,13.0,48,1,0.3,697.15,0.0,748.02,2026-01
WO-00079,2026-02-12 22:00:00,2026-02-13 23:20:54.741494210,Mechanical,Low,Production A,Tech A,25.3,72,1,0.6,1257.71,0.0,1351.7,2026-02
WO-00080,2026-03-05 17:00:00,2026-03-05 20:40:17.714312973,Electrical,Critical,Warehouse,Tech D,3.7,8,1,1.7,114.08,192.6,557.91,2026-03
WO-00081,2026-06-19 13:00:00,2026-06-20 01:14:03.445211090,HVAC,Medium,Office,Tech C,12.2,48,1,0.9,335.51,198.14,671.38,2026-06
WO-00082,2026-05-06 13:00:00,2026-05-07 05:26:16.143694647,Electrical,High,Production A,Tech A,16.4,24,1,2.2,537.6,118.9,987.5,2026-05
WO-00083,2026-06-25 22:00:00,2026-06-27 12:24:17.520714406,Plumbing,Medium,Office,Tech A,38.4,48,1,2.2,1513.41,180.8,2023.51,2026-06
WO-00084,2026-01-13 09:00:00,2026-01-13 17:12:07.130997481,Controls,High,Production B,Tech A,8.2,24,1,0.6,419.56,108.87,618.88,2026-01
WO-00085,2026-06-12 17:00:00,2026-06-13 09:05:06.875293207,General Maintenance,Medium,Production A,Tech B,16.1,48,1,1.1,664.15,81.87,904.1,2026-06
WO-00086,2026-05-03 07:00:00,2026-05-03 18:47:18.470414422,Mechanical,Low,Production A,Tech D,11.8,72,1,0.0,588.73,64.02,652.75,2026-05
WO-00087,2026-04-22 00:00:00,2026-04-22 20:56:06.686212761,General Maintenance,Low,Production A,Tech B,20.9,72,1,1.1,1017.94,0.0,1187.19,2026-04
WO-00088,2026-06-04 23:00:00,2026-06-05 19:10:45.361427909,HVAC,Medium,Office,Tech D,20.2,48,1,1.5,872.99,378.62,1470.82,2026-06
WO-00089,2026-02-19 18:00:00,2026-02-20 02:55:16.291779431,HVAC,High,Production B,Tech A,8.9,24,1,0.0,505.83,274.15,779.97,2026-02
WO-00090,2026-06-06 05:00:00,2026-06-06 22:24:06.786398198,HVAC,High,Production B,Tech B,17.4,24,1,3.0,817.88,0.0,1263.38,2026-06
WO-00091,2026-02-18 09:00:00,2026-02-18 19:43:00.791354208,HVAC,Medium,Production A,Tech E,10.7,48,1,0.4,403.77,108.91,566.44,2026-02
WO-00092,2026-06-20 09:00:00,2026-06-21 04:21:21.890575943,Plumbing,Low,Utility Room,Tech C,19.4,72,1,0.2,849.67,78.93,964.18,2026-06
WO-00093,2026-05-26 08:00:00,2026-05-27 19:28:54.308893267,Electrical,Low,Production A,Tech E,35.5,72,1,1.6,1382.22,200.88,1824.48,2026-05
WO-00094,2026-03-18 15:00:00,2026-03-20 01:07:50.468807651,HVAC,Low,Production B,Tech C,34.1,72,1,1.7,1515.52,255.91,2031.4,2026-03
WO-00095,2026-02-14 07:00:00,2026-02-14 15:57:29.777519069,Controls,Low,Production A,Tech C,9.0,72,1,1.0,314.18,80.02,542.87,2026-02
WO-00096,2026-04-19 23:00:00,2026-04-20 13:27:42.744870557,General Maintenance,Low,Production B,Tech B,14.5,72,1,0.7,440.31,53.56,602.12,2026-04
WO-00097,2026-06-11 17:00:00,2026-06-13 05:28:25.856006464,Plumbing,Low,Warehouse,Tech C,36.5,72,1,2.4,1704.31,7.29,2064.45,2026-06
WO-00098,2026-06-18 17:00:00,2026-06-19 15:53:13.058829440,HVAC,Medium,Production A,Tech A,22.9,48,1,2.1,1076.77,379.65,1767.36,2026-06
WO-00099,2026-02-10 13:00:00,2026-02-11 20:06:06.910300246,General Maintenance,Low,Production B,Tech B,31.1,72,1,0.6,1370.87,55.91,1515.64,2026-02
WO-00100,2026-03-07 00:00:00,2026-03-08 23:06:28.027104927,Plumbing,Low,Production B,Tech B,47.1,72,1,2.1,1947.56,79.21,2348.89,2026-03
WO-00101,2026-05-19 04:00:00,2026-05-19 12:48:21.248603221,Electrical,Medium,Production A,Tech D,8.8,48,1,0.7,363.53,104.88,570.32,2026-05
WO-00102,2026-06-16 09:00:00,2026-06-16 16:10:14.406413923,HVAC,High,Production B,Tech A,7.2,24,1,2.1,276.88,298.77,896.32,2026-06
WO-00103,2026-06-29 15:00:00,2026-06-29 23:12:13.772532609,Controls,Medium,Production B,Tech E,8.2,48,1,1.2,435.09,180.63,799.71,2026-06
WO-00104,2026-05-04 11:00:00,2026-05-06 02:25:58.495171118,HVAC,Low,Warehouse,Tech D,39.4,72,1,1.2,1391.4,236.82,1809.08,2026-05
WO-00105,2026-06-23 10:00:00,2026-06-24 14:17:26.022240679,Electrical,High,Office,Tech C,28.3,24,0,5.4,1164.97,212.88,2180.5,2026-06
WO-00106,2026-02-05 16:00:00,2026-02-07 05:09:47.123856280,HVAC,Medium,Warehouse,Tech B,37.2,48,1,1.7,1327.15,195.65,1771.76,2026-02
WO-00107,2026-03-08 11:00:00,2026-03-09 22:37:46.043856910,Electrical,Low,Production A,Tech D,35.6,72,1,1.5,1833.31,131.15,2190.81,2026-03
WO-00108,2026-05-19 06:00:00,2026-05-20 13:28:02.965357336,HVAC,Low,Production B,Tech C,31.5,72,1,1.3,1249.58,259.75,1710.95,2026-05
WO-00109,2026-02-23 18:00:00,2026-02-24 14:19:30.432838544,Plumbing,Medium,Office,Tech C,20.3,48,1,0.7,730.17,85.18,918.92,2026-02
WO-00110,2026-03-09 23:00:00,2026-03-11 07:40:14.010932108,HVAC,Low,Production B,Tech A,32.7,72,1,1.4,1511.19,68.9,1788.91,2026-03
WO-00111,2026-04-17 19:00:00,2026-04-18 09:09:20.521641024,HVAC,Medium,Warehouse,Tech B,14.2,48,1,0.7,677.84,86.5,867.9,2026-04
WO-00112,2026-01-04 09:00:00,2026-01-05 08:17:31.989873366,Electrical,Low,Warehouse,Tech E,23.3,72,1,1.5,1246.91,109.39,1576.06,2026-01
WO-00113,2026-04-16 01:00:00,2026-04-16 18:13:46.878184846,Controls,High,Production A,Tech C,17.2,24,1,3.1,769.17,248.43,1486.49,2026-04
WO-00114,2026-06-22 03:00:00,2026-06-23 13:21:31.503981038,Controls,Low,Production A,Tech E,34.4,72,1,2.3,1110.84,148.48,1606.54,2026-06
WO-00115,2026-02-25 02:00:00,2026-02-26 09:31:04.580306016,HVAC,Low,Warehouse,Tech B,31.5,72,1,1.5,1237.14,249.78,1709.3,2026-02
WO-00116,2026-05-30 02:00:00,2026-05-31 09:51:07.410511611,HVAC,Low,Warehouse,Tech C,31.9,72,1,1.9,985.58,379.55,1652.87,2026-05
WO-00117,2026-03-23 13:00:00,2026-03-24 00:27:47.035181068,Controls,Low,Production A,Tech B,11.5,72,1,0.4,408.73,209.43,680.59,2026-03
WO-00118,2026-06-05 15:00:00,2026-06-06 16:39:01.227399894,HVAC,Low,Office,Tech C,25.7,72,1,0.6,1148.69,276.94,1520.63,2026-06
WO-00119,2026-03-02 14:00:00,2026-03-03 08:39:16.170931147,HVAC,Low,Warehouse,Tech B,18.7,72,1,0.9,904.05,193.52,1228.97,2026-03
WO-00120,2026-04-10 06:00:00,2026-04-10 13:29:48.488720683,Electrical,Medium,Warehouse,Tech D,7.5,48,1,0.0,307.1,218.74,525.83,2026-04
WO-00121,2026-01-29 07:00:00,2026-01-30 05:51:04.754953115,Controls,Medium,Warehouse,Tech C,22.9,48,1,0.4,955.0,140.32,1154.9,2026-01
WO-00122,2026-04-03 02:00:00,2026-04-04 23:20:36.553079445,HVAC,Medium,Production A,Tech B,45.3,48,1,2.1,1963.17,69.03,2345.16,2026-04
WO-00123,2026-03-02 05:00:00,2026-03-03 09:45:04.082230102,HVAC,Medium,Production A,Tech A,28.8,48,1,1.2,1280.94,143.22,1606.37,2026-03
WO-00124,2026-02-10 16:00:00,2026-02-11 07:09:07.107246526,General Maintenance,Low,Utility Room,Tech B,15.2,72,1,0.0,547.01,61.42,608.43,2026-02
WO-00125,2026-03-26 21:00:00,2026-03-29 08:08:29.312307549,HVAC,Low,Warehouse,Tech B,59.1,72,1,3.0,2584.44,104.63,3143.66,2026-03
WO-00126,2026-01-13 20:00:00,2026-01-15 19:40:55.952187599,HVAC,Medium,Office,Tech C,47.7,48,1,1.2,1926.12,315.78,2416.96,2026-01
WO-00127,2026-01-13 18:00:00,2026-01-13 20:11:05.516214628,Electrical,Low,Office,Tech D,2.2,72,1,0.5,80.83,281.54,429.96,2026-01
WO-00128,2026-02-20 05:00:00,2026-02-20 06:55:54.657850285,Electrical,Critical,Office,Tech E,1.9,8,1,0.4,92.56,130.05,276.78,2026-02
WO-00129,2026-06-19 10:00:00,2026-06-19 23:33:37.014378410,Controls,High,Warehouse,Tech B,13.6,24,1,2.6,509.12,153.53,1051.89,2026-06
WO-00130,2026-05-17 11:00:00,2026-05-19 07:20:27.418113171,Plumbing,Medium,Production A,Tech C,44.3,48,1,1.0,1815.48,11.61,1983.88,2026-05
WO-00131,2026-06-08 16:00:00,2026-06-11 05:24:22.751439599,Controls,Low,Office,Tech E,61.4,72,1,3.9,2944.44,145.19,3680.9,2026-06
WO-00132,2026-03-09 15:00:00,2026-03-11 00:13:11.922024500,Controls,Low,Production B,Tech E,33.2,72,1,1.7,1574.41,29.27,1851.31,2026-03
WO-00133,2026-01-23 21:00:00,2026-01-23 22:34:17.295053123,Electrical,Critical,Utility Room,Tech E,1.6,8,1,0.0,71.93,253.62,325.55,2026-01
WO-00134,2026-06-14 15:00:00,2026-06-15 15:54:16.271017721,Electrical,Medium,Production B,Tech D,24.9,48,1,0.8,1226.24,92.0,1443.7,2026-06
WO-00135,2026-05-16 04:00:00,2026-05-16 23:45:51.289992246,Mechanical,Medium,Utility Room,Tech E,19.8,48,1,0.5,943.78,62.08,1084.76,2026-05
WO-00136,2026-06-22 20:00:00,2026-06-24 01:49:24.052166724,HVAC,Low,Production A,Tech C,29.8,72,1,1.6,1230.75,213.47,1679.24,2026-06
WO-00137,2026-01-13 11:00:00,2026-01-13 16:12:37.872118966,HVAC,High,Utility Room,Tech A,5.2,24,1,1.8,260.17,205.47,737.53,2026-01
WO-00138,2026-05-10 07:00:00,2026-05-12 06:03:09.422521829,HVAC,Medium,Production B,Tech E,47.1,48,1,2.7,2120.07,85.3,2607.82,2026-05
WO-00139,2026-04-08 14:00:00,2026-04-10 17:50:42.082853637,General Maintenance,Low,Warehouse,Tech C,51.8,72,1,2.5,1894.08,78.06,2354.21,2026-04
WO-00140,2026-03-28 12:00:00,2026-03-30 04:30:10.901202457,HVAC,High,Office,Tech E,40.5,24,0,10.0,1339.9,122.9,2960.15,2026-03
WO-00141,2026-01-25 03:00:00,2026-01-25 14:13:28.019855380,Electrical,Medium,Production A,Tech C,11.2,48,1,0.9,493.3,23.38,649.43,2026-01
WO-00142,2026-03-17 23:00:00,2026-03-19 09:04:46.939442530,HVAC,Low,Utility Room,Tech D,34.1,72,1,1.3,1209.0,167.1,1576.47,2026-03
WO-00143,2026-01-16 22:00:00,2026-01-16 22:48:29.425877424,HVAC,High,Production B,Tech C,0.8,24,1,0.8,34.64,41.54,200.43,2026-01
WO-00144,2026-04-06 05:00:00,2026-04-07 06:29:45.279442428,Controls,Medium,Production A,Tech D,25.5,48,1,0.5,1084.3,125.44,1288.91,2026-04
WO-00145,2026-04-30 20:00:00,2026-05-01 03:22:09.520512095,HVAC,Medium,Production A,Tech A,7.4,48,1,0.0,337.44,75.52,412.96,2026-04
WO-00146,2026-03-12 11:00:00,2026-03-15 09:10:30.736592367,HVAC,Low,Warehouse,Tech E,70.2,72,1,3.6,3050.74,130.45,3722.29,2026-03
WO-00147,2026-02-25 07:00:00,2026-02-25 19:04:53.272260319,HVAC,Low,Production B,Tech D,12.1,72,1,0.6,459.32,298.85,847.98,2026-02
WO-00148,2026-06-19 06:00:00,2026-06-19 15:44:58.628706495,Controls,Medium,Warehouse,Tech D,9.7,48,1,1.9,467.22,207.91,966.87,2026-06
WO-00149,2026-02-09 18:00:00,2026-02-11 11:18:21.385733540,Electrical,Low,Warehouse,Tech E,41.3,72,1,1.8,1867.88,0.0,2143.11,2026-02
WO-00150,2026-06-15 15:00:00,2026-06-18 11:56:18.125398110,HVAC,Low,Warehouse,Tech D,68.9,72,1,3.6,3217.24,220.8,3978.01,2026-06
WO-00151,2026-02-18 13:00:00,2026-02-19 13:17:55.742584782,Plumbing,Low,Production B,Tech A,24.3,72,1,0.6,1094.14,63.14,1243.12,2026-02
WO-00152,2026-03-10 07:00:00,2026-03-12 01:42:55.220317935,Plumbing,Low,Warehouse,Tech A,42.7,72,1,2.4,2106.68,122.02,2582.61,2026-03
WO-00153,2026-06-15 09:00:00,2026-06-15 10:19:41.994342267,Plumbing,Critical,Production A,Tech E,1.3,8,1,1.0,59.69,253.35,464.94,2026-06
WO-00154,2026-03-08 23:00:00,2026-03-12 15:51:44.092917189,Controls,Low,Warehouse,Tech A,88.9,72,0,4.8,4081.93,260.46,5058.8,2026-03
WO-00155,2026-06-25 09:00:00,2026-06-26 05:38:16.988548169,Plumbing,Low,Production A,Tech D,20.6,72,1,0.2,869.74,166.57,1066.57,2026-06
WO-00156,2026-05-21 20:00:00,2026-05-21 20:52:31.919826309,Mechanical,Critical,Warehouse,Tech E,0.9,8,1,1.7,35.97,305.85,592.77,2026-05
WO-00157,2026-02-06 10:00:00,2026-02-07 04:30:41.356669717,Controls,Low,Production A,Tech D,18.5,72,1,1.6,854.45,77.67,1165.83,2026-02
WO-00158,2026-06-17 10:00:00,2026-06-17 20:43:56.658975051,Plumbing,Low,Production B,Tech E,10.7,72,1,0.4,474.56,154.37,686.65,2026-06
WO-00159,2026-03-21 18:00:00,2026-03-23 00:58:26.027704621,HVAC,Low,Production A,Tech A,31.0,72,1,1.8,1197.22,104.94,1569.05,2026-03
WO-00160,2026-06-25 12:00:00,2026-06-27 07:42:13.590345608,HVAC,Low,Warehouse,Tech B,43.7,72,1,1.5,1424.66,243.07,1886.72,2026-06
WO-00161,2026-06-27 21:00:00,2026-06-27 23:35:06.728344840,HVAC,Medium,Production A,Tech A,2.6,48,1,0.4,91.0,189.86,338.89,2026-06
WO-00162,2026-03-08 09:00:00,2026-03-09 07:54:37.475701788,Electrical,Medium,Warehouse,Tech E,22.9,48,1,1.1,766.93,183.26,1115.83,2026-03
WO-00163,2026-05-06 22:00:00,2026-05-08 07:36:39.241840817,Mechanical,Medium,Production A,Tech C,33.6,48,1,1.7,1578.98,291.07,2119.27,2026-05
WO-00164,2026-06-20 05:00:00,2026-06-21 07:00:58.943962459,Electrical,Medium,Production B,Tech C,26.0,48,1,1.4,1518.14,192.45,1918.7,2026-06
